Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Customer Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US2013-3950,2013-11-09,2013-11-12,Second Class,CG-2520,Claire Gute,Consumer,Henderson,Kentucky,42420,South,FUR-BUS-10004173,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
2,US2013-3950,2013-11-09,2013-11-12,Second Class,CG-2520,Claire Gute,Consumer,Henderson,Kentucky,42420,South,FUR-HON-10001381,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",487.96,2,0,146.388
3,US2013-620,2013-06-13,2013-06-17,Second Class,DV-3045,Darrin Van Huff,Corporate,Los Angeles,California,90036,West,OFF-SEL-10000641,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,13.158,2,0.1,5.4094
4,US2012-6290,2012-10-11,2012-10-18,Standard Class,SO-10335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South,FUR-BRE-10004435,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,835.704,4,0.4,-236.7828
5,US2012-6290,2012-10-11,2012-10-18,Standard Class,SO-10335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South,OFF-ELD-10000292,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,11.184,2,0.6,-8.6676
6,US2011-5930,2011-06-09,2011-06-14,Standard Class,BH-1710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,FUR-ELD-10003673,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",37.692,6,0.1,7.9572
7,US2011-5930,2011-06-09,2011-06-14,Standard Class,BH-1710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,OFF-NEW-10004945,Office Supplies,Art,Newell 322,6.552,4,0.1,1.2376
8,US2011-5930,2011-06-09,2011-06-14,Standard Class,BH-1710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,TEC-MIT-10001464,Technology,Phones,Mitel 5320 IP Phone VoIP phone,1020.546,6,0.1,204.1092
9,US2011-5930,2011-06-09,2011-06-14,Standard Class,BH-1710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,OFF-DXL-10000261,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,13.878,2,0.1,5.397
10,US2011-5930,2011-06-09,2011-06-14,Standard Class,BH-1710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,OFF-BEL-10000139,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,82.728,4,0.1,18.384
11,US2011-5930,2011-06-09,2011-06-14,Standard Class,BH-1710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,FUR-CHR-10004378,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,8,0.1,265.4064
12,US2011-5930,2011-06-09,2011-06-14,Standard Class,BH-1710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,TEC-KON-10000458,Technology,Phones,Konftel 250 Conference phone - Charcoal black,1025.352,4,0.1,182.2848
13,US2014-2390,2014-04-16,2014-04-21,Standard Class,AA-480,Andrew Allen,Consumer,Concord,North Carolina,28027,South,OFF-XER-10003687,Office Supplies,Paper,Xerox 1967,12.96,2,0,6.2208
14,US2013-9210,2013-12-06,2013-12-11,Standard Class,IM-5070,Irene Maddox,Consumer,Seattle,Washington,98103,West,OFF-FEL-10000467,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,305.982,2,0.1,122.3928
15,US2012-1830,2012-11-22,2012-11-26,Standard Class,HP-4815,Harold Pawlan,Home Office,Fort Worth,Texas,76106,Central,OFF-HOL-10004947,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",165.144,4,0.4,11.0096
16,US2012-1830,2012-11-22,2012-11-26,Standard Class,HP-4815,Harold Pawlan,Home Office,Fort Worth,Texas,76106,Central,OFF-STO-10002319,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,5.088,2,0.4,0.848
17,US2011-2080,2011-11-11,2011-11-18,Standard Class,PK-9075,Pete Kriz,Consumer,Madison,Wisconsin,53711,Central,OFF-STU-10003862,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
18,US2011-6950,2011-05-13,2011-05-15,Second Class,AG-270,Alejandro Grove,Consumer,West Jordan,Utah,84084,West,OFF-FEL-10004294,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,US2011-1550,2011-08-27,2011-09-01,Second Class,ZD-11925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West,OFF-NEW-10004051,Office Supplies,Art,Newell 341,7.704,2,0.1,1.6264
20,US2011-1550,2011-08-27,2011-09-01,Second Class,ZD-11925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West,TEC-CIS-10004288,Technology,Phones,Cisco SPA 501G IP Phone,160.11,2,0.1,28.464
21,US2011-1550,2011-08-27,2011-09-01,Second Class,ZD-11925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West,OFF-WIL-10001611,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",25.56,4,0.1,10.224
22,US2013-3990,2013-12-10,2013-12-14,Standard Class,KB-6585,Ken Black,Corporate,Fremont,Nebraska,68025,Central,OFF-NEW-10003162,Office Supplies,Art,Newell 318,16.68,6,0,4.3368
23,US2013-3990,2013-12-10,2013-12-14,Standard Class,KB-6585,Ken Black,Corporate,Fremont,Nebraska,68025,Central,OFF-ACC-10001387,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",51.72,6,0,13.4472
24,US2014-7370,2014-07-17,2014-07-19,Second Class,SF-10065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-GLO-10004796,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",61.176,2,0.4,-11.2156
25,US2012-1820,2012-09-25,2012-09-30,Standard Class,EB-3870,Emily Burns,Consumer,Orem,Utah,84057,West,FUR-BRE-10004435,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,696.42,2,0,160.1766
26,US2013-280,2013-01-16,2013-01-20,Second Class,EH-3945,Eric Hoffmann,Consumer,Los Angeles,California,90049,West,OFF-WIL-10001625,Office Supplies,Binders,Wilson Jones Active Use Binders,13.104,2,0.1,5.6784
27,US2013-280,2013-01-16,2013-01-20,Second Class,EH-3945,Eric Hoffmann,Consumer,Los Angeles,California,90049,West,TEC-IMA-10003272,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,54.342,2,0.1,1.8114
28,US2012-5940,2012-09-17,2012-09-21,Standard Class,TB-11520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-RIV-10000883,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3171.528,6,0.4,-898.5996
29,US2012-5940,2012-09-17,2012-09-21,Standard Class,TB-11520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-AVE-10004279,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,16.03,2,0.5,-0.6412
